donut number = 2, In-ptr =  1, serial-counter =  1
donut number = 2, In-ptr =  11, serial-counter =  1491
donut number = 0, In-ptr =  35, serial-counter =  1515
donut number = 3, In-ptr =  2, serial-counter =  1562
donut number = 3, In-ptr =  3, serial-counter =  1563
donut number = 1, In-ptr =  31, serial-counter =  1551
donut number = 3, In-ptr =  4, serial-counter =  1564
donut number = 0, In-ptr =  36, serial-counter =  1516
donut number = 0, In-ptr =  37, serial-counter =  1517
donut number = 3, In-ptr =  5, serial-counter =  1565
donut number = 0, In-ptr =  38, serial-counter =  1518
donut number = 1, In-ptr =  32, serial-counter =  1552
donut number = 3, In-ptr =  6, serial-counter =  1566
donut number = 1, In-ptr =  33, serial-counter =  1553
donut number = 3, In-ptr =  7, serial-counter =  1567
donut number = 2, In-ptr =  12, serial-counter =  1492
donut number = 2, In-ptr =  13, serial-counter =  1493
donut number = 3, In-ptr =  8, serial-counter =  1568
donut number = 3, In-ptr =  9, serial-counter =  1569
donut number = 3, In-ptr =  10, serial-counter =  1570
donut number = 2, In-ptr =  14, serial-counter =  1494
donut number = 1, In-ptr =  34, serial-counter =  1554
donut number = 2, In-ptr =  15, serial-counter =  1495
donut number = 2, In-ptr =  16, serial-counter =  1496
donut number = 1, In-ptr =  35, serial-counter =  1555
donut number = 0, In-ptr =  39, serial-counter =  1519
donut number = 1, In-ptr =  36, serial-counter =  1556
donut number = 0, In-ptr =  0, serial-counter =  1520
donut number = 3, In-ptr =  11, serial-counter =  1571
donut number = 2, In-ptr =  17, serial-counter =  1497
donut number = 0, In-ptr =  1, serial-counter =  1521
donut number = 0, In-ptr =  2, serial-counter =  1522
donut number = 1, In-ptr =  37, serial-counter =  1557
donut number = 3, In-ptr =  12, serial-counter =  1572
donut number = 2, In-ptr =  18, serial-counter =  1498
donut number = 1, In-ptr =  38, serial-counter =  1558
donut number = 3, In-ptr =  13, serial-counter =  1573
donut number = 1, In-ptr =  39, serial-counter =  1559
donut number = 2, In-ptr =  19, serial-counter =  1499
donut number = 3, In-ptr =  14, serial-counter =  1574
donut number = 0, In-ptr =  3, serial-counter =  1523
donut number = 3, In-ptr =  15, serial-counter =  1575
donut number = 1, In-ptr =  0, serial-counter =  1560
donut number = 2, In-ptr =  20, serial-counter =  1500
donut number = 1, In-ptr =  1, serial-counter =  1561
donut number = 2, In-ptr =  21, serial-counter =  1501
donut number = 0, In-ptr =  4, serial-counter =  1524
donut number = 3, In-ptr =  16, serial-counter =  1576
donut number = 3, In-ptr =  17, serial-counter =  1577
donut number = 0, In-ptr =  5, serial-counter =  1525
donut number = 1, In-ptr =  2, serial-counter =  1562
donut number = 1, In-ptr =  3, serial-counter =  1563
donut number = 2, In-ptr =  22, serial-counter =  1502
donut number = 3, In-ptr =  18, serial-counter =  1578
donut number = 2, In-ptr =  23, serial-counter =  1503
donut number = 3, In-ptr =  19, serial-counter =  1579
donut number = 2, In-ptr =  24, serial-counter =  1504
donut number = 3, In-ptr =  20, serial-counter =  1580
donut number = 3, In-ptr =  21, serial-counter =  1581
donut number = 3, In-ptr =  22, serial-counter =  1582
donut number = 2, In-ptr =  25, serial-counter =  1505
donut number = 0, In-ptr =  6, serial-counter =  1526
donut number = 2, In-ptr =  26, serial-counter =  1506
donut number = 3, In-ptr =  23, serial-counter =  1583
donut number = 0, In-ptr =  7, serial-counter =  1527
donut number = 3, In-ptr =  24, serial-counter =  1584
donut number = 2, In-ptr =  27, serial-counter =  1507
donut number = 3, In-ptr =  25, serial-counter =  1585
donut number = 0, In-ptr =  8, serial-counter =  1528
donut number = 2, In-ptr =  28, serial-counter =  1508
donut number = 0, In-ptr =  9, serial-counter =  1529
donut number = 0, In-ptr =  10, serial-counter =  1530
donut number = 1, In-ptr =  4, serial-counter =  1564
donut number = 3, In-ptr =  26, serial-counter =  1586
donut number = 1, In-ptr =  5, serial-counter =  1565
donut number = 0, In-ptr =  11, serial-counter =  1531
donut number = 2, In-ptr =  29, serial-counter =  1509
donut number = 2, In-ptr =  30, serial-counter =  1510
donut number = 0, In-ptr =  12, serial-counter =  1532
donut number = 0, In-ptr =  13, serial-counter =  1533
donut number = 2, In-ptr =  31, serial-counter =  1511
donut number = 0, In-ptr =  14, serial-counter =  1534
donut number = 0, In-ptr =  15, serial-counter =  1535
donut number = 0, In-ptr =  16, serial-counter =  1536
donut number = 2, In-ptr =  32, serial-counter =  1512
donut number = 1, In-ptr =  6, serial-counter =  1566
donut number = 3, In-ptr =  27, serial-counter =  1587
donut number = 1, In-ptr =  7, serial-counter =  1567
donut number = 0, In-ptr =  17, serial-counter =  1537
donut number = 0, In-ptr =  18, serial-counter =  1538
donut number = 3, In-ptr =  28, serial-counter =  1588
donut number = 1, In-ptr =  8, serial-counter =  1568
donut number = 1, In-ptr =  9, serial-counter =  1569
donut number = 3, In-ptr =  29, serial-counter =  1589
donut number = 2, In-ptr =  33, serial-counter =  1513
donut number = 3, In-ptr =  30, serial-counter =  1590
donut number = 1, In-ptr =  10, serial-counter =  1570
donut number = 2, In-ptr =  34, serial-counter =  1514
donut number = 1, In-ptr =  11, serial-counter =  1571
donut number = 1, In-ptr =  12, serial-counter =  1572
donut number = 3, In-ptr =  31, serial-counter =  1591
donut number = 2, In-ptr =  35, serial-counter =  1515
donut number = 1, In-ptr =  13, serial-counter =  1573
donut number = 0, In-ptr =  19, serial-counter =  1539
donut number = 1, In-ptr =  14, serial-counter =  1574
donut number = 3, In-ptr =  32, serial-counter =  1592
donut number = 1, In-ptr =  15, serial-counter =  1575
donut number = 3, In-ptr =  33, serial-counter =  1593
donut number = 1, In-ptr =  16, serial-counter =  1576
donut number = 1, In-ptr =  17, serial-counter =  1577
donut number = 0, In-ptr =  20, serial-counter =  1540
donut number = 1, In-ptr =  18, serial-counter =  1578
donut number = 1, In-ptr =  19, serial-counter =  1579
donut number = 0, In-ptr =  21, serial-counter =  1541
donut number = 0, In-ptr =  22, serial-counter =  1542
donut number = 1, In-ptr =  20, serial-counter =  1580
donut number = 1, In-ptr =  21, serial-counter =  1581
donut number = 3, In-ptr =  34, serial-counter =  1594
donut number = 1, In-ptr =  22, serial-counter =  1582
donut number = 3, In-ptr =  35, serial-counter =  1595
donut number = 3, In-ptr =  36, serial-counter =  1596
donut number = 1, In-ptr =  23, serial-counter =  1583
donut number = 0, In-ptr =  23, serial-counter =  1543
donut number = 2, In-ptr =  36, serial-counter =  1516
donut number = 1, In-ptr =  24, serial-counter =  1584
donut number = 3, In-ptr =  37, serial-counter =  1597
donut number = 0, In-ptr =  24, serial-counter =  1544
donut number = 0, In-ptr =  25, serial-counter =  1545
donut number = 3, In-ptr =  38, serial-counter =  1598
donut number = 1, In-ptr =  25, serial-counter =  1585
donut number = 2, In-ptr =  37, serial-counter =  1517
donut number = 2, In-ptr =  38, serial-counter =  1518
donut number = 0, In-ptr =  26, serial-counter =  1546
donut number = 0, In-ptr =  27, serial-counter =  1547
donut number = 1, In-ptr =  26, serial-counter =  1586
donut number = 2, In-ptr =  39, serial-counter =  1519
donut number = 3, In-ptr =  39, serial-counter =  1599
donut number = 0, In-ptr =  28, serial-counter =  1548
donut number = 0, In-ptr =  29, serial-counter =  1549
donut number = 3, In-ptr =  0, serial-counter =  1600
donut number = 3, In-ptr =  1, serial-counter =  1601
donut number = 0, In-ptr =  30, serial-counter =  1550
donut number = 1, In-ptr =  27, serial-counter =  1587
donut number = 0, In-ptr =  31, serial-counter =  1551
donut number = 0, In-ptr =  32, serial-counter =  1552
donut number = 3, In-ptr =  2, serial-counter =  1602
donut number = 0, In-ptr =  33, serial-counter =  1553
donut number = 0, In-ptr =  34, serial-counter =  1554
donut number = 1, In-ptr =  28, serial-counter =  1588
donut number = 2, In-ptr =  0, serial-counter =  1520
donut number = 1, In-ptr =  29, serial-counter =  1589
donut number = 2, In-ptr =  1, serial-counter =  1521
donut number = 1, In-ptr =  30, serial-counter =  1590
donut number = 0, In-ptr =  35, serial-counter =  1555
donut number = 3, In-ptr =  3, serial-counter =  1603
donut number = 1, In-ptr =  31, serial-counter =  1591
donut number = 2, In-ptr =  2, serial-counter =  1522
donut number = 1, In-ptr =  32, serial-counter =  1592
donut number = 0, In-ptr =  36, serial-counter =  1556
donut number = 3, In-ptr =  4, serial-counter =  1604
donut number = 3, In-ptr =  5, serial-counter =  1605
donut number = 0, In-ptr =  37, serial-counter =  1557
donut number = 2, In-ptr =  3, serial-counter =  1523
donut number = 0, In-ptr =  38, serial-counter =  1558
donut number = 3, In-ptr =  6, serial-counter =  1606
donut number = 0, In-ptr =  39, serial-counter =  1559
donut number = 0, In-ptr =  0, serial-counter =  1560
donut number = 2, In-ptr =  4, serial-counter =  1524
donut number = 3, In-ptr =  7, serial-counter =  1607
donut number = 2, In-ptr =  5, serial-counter =  1525
donut number = 3, In-ptr =  8, serial-counter =  1608
donut number = 3, In-ptr =  9, serial-counter =  1609
donut number = 0, In-ptr =  1, serial-counter =  1561
donut number = 1, In-ptr =  33, serial-counter =  1593
donut number = 1, In-ptr =  34, serial-counter =  1594
donut number = 0, In-ptr =  2, serial-counter =  1562
donut number = 1, In-ptr =  35,  32, serial-counter =  1632
donut number = 3, In-ptr =  21, serial-counter =  1581
donut number = 3, In-ptr =  22, serial-counter =  1582
donut number = 0, In-ptr =  33, serial-counter =  1633
donut number = 1, In-ptr =  4, serial-counter =  1564
donut number = 3, In-ptr =  23, serial-counter =  1583
donut number = 0, In-ptr =  34, serial-counter =  1634
donut number = 1, In-ptr =  5, serial-counter =  1565
donut number = 3, In-ptr =  24, serial-counter =  1584
donut number = 0, In-ptr =  35, serial-counter =  1635
donut number = 0, In-ptr =  36, serial-counter =  1636
donut number = 2, In-ptr =  37, serial-counter =  1517
donut number = 3, In-ptr =  25, serial-counter =  1585
donut number = 1, In-ptr =  6, serial-counter =  1566
donut number = 2, In-ptr =  38, serial-counter =  1518
donut number = 3, In-ptr =  26, serial-counter =  1586
donut number = 0, In-ptr =  37, serial-counter =  1637
donut number = 2, In-ptr =  39, serial-counter =  1519
donut number = 3, In-ptr =  27, serial-counter =  1587
donut number = 3, In-ptr =  28, serial-counter =  1588
donut number = 0, In-ptr =  38, serial-counter =  1638
donut number = 3, In-ptr =  29, serial-counter =  1589
donut number = 0, In-ptr =  39, serial-counter =  1639
donut number = 2, In-ptr =  0, serial-counter =  1520
donut number = 3, In-ptr =  30, serial-counter =  1590
donut number = 0, In-ptr =  0, serial-counter =  1640
donut number = 1, In-ptr =  7, serial-counter =  1567
donut number = 3, In-ptr =  31, serial-counter =  1591
donut number = 3, In-ptr =  32, serial-counter =  1592
donut number = 2, In-ptr =  1, serial-counter =  1521
donut number = 2, In-ptr =  2, serial-counter =  1522
donut number = 1, In-ptr =  8, serial-counter =  1568
donut number = 2, In-ptr =  3, serial-counter =  1523
donut number = 3, In-ptr =  33, serial-counter =  1593
donut number = 2, In-ptr =  4, serial-counter =  1524
donut number = 0, In-ptr =  1, serial-counter =  1641
donut number = 2, In-ptr =  5, serial-counter =  1525
donut number = 3, In-ptr =  34, serial-counter =  1594
donut number = 3, In-ptr =  35, serial-counter =  1595
donut number = 3, In-ptr =  36, serial-counter =  1596
donut number = 3, In-ptr =  37, serial-counter =  1597
donut number = 0, In-ptr =  2, serial-counter =  1642
donut number = 1, In-ptr =  9, serial-counter =  1569
donut number = 1, In-ptr =  10, serial-counter =  1570
donut number = 0, In-ptr =  3, serial-counter =  1643
donut number = 3, In-ptr =  38, serial-counter =  1598
donut number = 3, In-ptr =  39, serial-counter =  1599
donut number = 0, In-ptr =  4, serial-counter =  1644
donut number = 0, In-ptr =  5, serial-counter =  1645
donut number = 1, In-ptr =  11, serial-counter =  1571
donut number = 3, In-ptr =  0, serial-counter =  1600
donut number = 1, In-ptr =  12, serial-counter =  1572
donut number = 0, In-ptr =  6, serial-counter =  1646
donut number = 2, In-ptr =  6, serial-counter =  1526
donut number = 3, In-ptr =  1, serial-counter =  1601
donut number = 2, In-ptr =  7, serial-counter =  1527
donut number = 1, In-ptr =  13, serial-counter =  1573
donut number = 1, In-ptr =  14, serial-counter =  1574
donut number = 0, In-ptr =  7, serial-counter =  1647
donut number = 3, In-ptr =  2, serial-counter =  1602
donut number = 3, In-ptr =  3, serial-counter =  1603
donut number = 1, In-ptr =  15, serial-counter =  1575
donut number = 0, In-ptr =  8, serial-counter =  1648
donut number = 1, In-ptr =  16, serial-counter =  1576
donut number = 1, In-ptr =  17, serial-counter =  1577
donut number = 2, In-ptr =  8, serial-counter =  1528
donut number = 1, In-ptr =  18, serial-counter =  1578
donut number = 0, In-ptr =  9, serial-counter =  1649
donut number = 2, In-ptr =  9, serial-counter =  1529
donut number = 1, In-ptr =  19, serial-counter =  1579
donut number = 0, In-ptr =  10, serial-counter =  1650
donut number = 0, In-ptr =  11, serial-counter =  1651
donut number = 1, In-ptr =  20, serial-counter =  1580
donut number = 3, In-ptr =  4, serial-counter =  1604
donut number = 3, In-ptr =  5, serial-counter =  1605
donut number = 3, In-ptr =  6, serial-counter =  1606
donut number = 1, In-ptr =  21, serial-counter =  1581
donut number = 1, In-ptr =  22, serial-counter =  1582
donut number = 2, In-ptr =  10, serial-counter =  1530
donut number = 2, In-ptr =  11, serial-counter =  1531
donut number = 3, In-ptr =  7, serial-counter =  1607
donut number = 1, In-ptr =  23, serial-counter =  1583
donut number = 2, In-ptr =  12, serial-counter =  1532
In signal handler with signal # 15
 24, serial-counter =  1584
donut number = 2, In-ptr =  29, serial-counter =  1549
donut number = 1, In-ptr =  19, serial-counter =  1619
donut number = 0, In-ptr =  25, serial-counter =  1585
donut number = 2, In-ptr =  30, serial-counter =  1550
donut number = 2, In-ptr =  31, serial-counter =  1551
donut number = 0, In-ptr =  26, serial-counter =  1586
donut number = 2, In-ptr =  32, serial-counter =  1552
donut number = 3, In-ptr =  25, serial-counter =  1625
donut number = 3, In-ptr =  26, serial-counter =  1626
donut number = 1, In-ptr =  20, serial-counter =  1620
donut number = 3, In-ptr =  27, serial-counter =  1627
donut number = 1, In-ptr =  21, serial-counter =  1621
donut number = 1, In-ptr =  22, serial-counter =  1622
donut number = 2, In-ptr =  33, serial-counter =  1553
donut number = 1, In-ptr =  23, serial-counter =  1623
donut number = 3, In-ptr =  28, serial-counter =  1628
donut number = 0, In-ptr =  27, serial-counter =  1587
donut number = 1, In-ptr =  24, serial-counter =  1624
donut number = 3, In-ptr =  29, serial-counter =  1629
donut number = 1, In-ptr =  25, serial-counter =  1625
donut number = 3, In-ptr =  30, serial-counter =  1630
donut number = 3, In-ptr =  31, serial-counter =  1631
donut number = 1, In-ptr =  26, serial-counter =  1626
donut number = 1, In-ptr =  27, serial-counter =  1627
donut number = 2, In-ptr =  34, serial-counter =  1554
donut number = 3, In-ptr =  32, serial-counter =  1632
donut number = 0, In-ptr =  28, serial-counter =  1588
donut number = 1, In-ptr =  28, serial-counter =  1628
donut number = 1, In-ptr =  29, serial-counter =  1629
donut number = 0, In-ptr =  29, serial-counter =  1589
donut number = 2, In-ptr =  35, serial-counter =  1555
donut number = 1, In-ptr =  30, serial-counter =  1630
donut number = 0, In-ptr =  30, serial-counter =  1590
donut number = 1, In-ptr =  31, serial-counter =  1631
donut number = 3, In-ptr =  33, serial-counter =  1633
donut number = 0, In-ptr =  31, serial-counter =  1591
donut number = 3, In-ptr =  34, serial-counter =  1634
donut number = 0, In-ptr =  32, serial-counter =  1592
donut number = 3, In-ptr =  35, serial-counter =  1635
donut number = 3, In-ptr =  36, serial-counter =  1636
donut number = 3, In-ptr =  37, serial-counter =  1637
donut number = 0, In-ptr =  33, serial-counter =  1593
donut number = 3, In-ptr =  38, serial-counter =  1638
donut number = 2, In-ptr =  36, serial-counter =  1556
donut number = 0, In-ptr =  34, serial-counter =  1594
donut number = 1, In-ptr =  32, serial-counter =  1632
donut number = 0, In-ptr =  35, serial-counter =  1595
donut number = 0, In-ptr =  36, serial-counter =  1596
donut number = 2, In-ptr =  37, serial-counter =  1557
donut number = 0, In-ptr =  37, serial-counter =  1597
donut number = 3, In-ptr =  39, serial-counter =  1639
donut number = 2, In-ptr =  38, serial-counter =  1558
donut number = 3, In-ptr =  0, serial-counter =  1640
donut number = 3, In-ptr =  1, serial-counter =  1641
donut number = 3, In-ptr =  2, serial-counter =  1642
donut number = 3, In-ptr =  3, serial-counter =  1643
donut number = 3, In-ptr =  4, serial-counter =  1644
donut number = 2, In-ptr =  39, serial-counter =  1559
donut number = 2, In-ptr =  0, serial-counter =  1560
donut number = 3, In-ptr =  5, serial-counter =  1645
donut number = 3, In-ptr =  6, serial-counter =  1646
donut number = 1, In-ptr =  33, serial-counter =  1633
donut number = 2, In-ptr =  1, serial-counter =  1561
donut number = 2, In-ptr =  2, serial-counter =  1562
donut number = 0, In-ptr =  38, serial-counter =  1598
donut number = 0, In-ptr =  39, serial-counter =  1599
donut number = 1, In-ptr =  34, serial-counter =  1634
donut number = 1, In-ptr =  35, serial-counter =  1635
donut number = 3, In-ptr =  7, serial-counter =  1647
donut number = 2, In-ptr =  3, serial-counter =  1563
donut number = 3, In-ptr =  8, serial-counter =  1648
donut number = 0, In-ptr =  0, serial-counter =  1600
donut number = 2, In-ptr =  4, serial-counter =  1564
donut number = 1, In-ptr =  36, serial-counter =  1636
donut number = 0, In-ptr =  1, serial-counter =  1601
donut number = 2, In-ptr =  5, serial-counter =  1565
donut number = 2, In-ptr =  6, serial-counter =  1566
donut number = 1, In-ptr =  37, serial-counter =  1637
donut number = 3, In-ptr =  9, serial-counter =  1649
donut number = 2, In-ptr =  7, serial-counter =  1567
donut number = 0, In-ptr =  2, serial-counter =  1602
donut number = 3, In-ptr =  10, serial-counter =  1650
donut number = 1, In-ptr =  38, serial-counter =  1638
donut number = 3, In-ptr =  11, serial-counter =  1651
donut number = 3, In-ptr =  12, serial-counter =  1652
donut number = 2, In-ptr =  8, serial-counter =  1568
donut number = 3, In-ptr =  13, serial-counter =  1653
donut number = 0, In-ptr =  3, serial-counter =  1603
donut number = 0, In-ptr =  4, serial-counter =  1604
donut number = 3, In-ptr =  14, serial-counter =  1654
donut number = 2, In-ptr =  9, serial-counter =  1569
donut number = 2, In-ptr =  10, serial-counter =  1570
donut number = 2, In-ptr =  11, serial-counter =  1571
donut number = 2, In-ptr =  12, serial-counter =  1572
donut number = 1, In-ptr =  39, serial-counter =  1639
donut number = 3, In-ptr =  15, serial-counter =  1655
donut number = 1, In-ptr =  0, serial-counter =  1640
donut number = 1, In-ptr =  1, serial-counter =  1641
donut number = 2, In-ptr =  13, serial-counter =  1573
donut number = 3, In-ptr =  16, serial-counter =  1656
donut number = 1, In-ptr =  2, serial-counter =  1642
donut number = 0, In-ptr =  5, serial-counter =  1605
donut number = 0, In-ptr =  6, serial-counter =  1606
donut number = 2, In-ptr =  14, serial-counter =  1574
donut number = 3, In-ptr =  17, serial-counter =  1657
donut number = 2, In-ptr =  15, serial-counter =  1575
donut number = 1, In-ptr =  3, serial-counter =  1643
donut number = 2, In-ptr =  16, serial-counter =  1576
donut number = 3, In-ptr =  18, serial-counter =  1658
donut number = 3, In-ptr =  19, serial-counter =  1659
donut number = 2, In-ptr =  17, serial-counter =  1577
donut number = 3, In-ptr =  20, serial-counter =  1660
donut number = 2, In-ptr =  18, serial-counter =  1578
donut number = 3, In-ptr =  21, serial-counter =  1661
donut number = 3, In-ptr =  22, serial-counter =  1662
donut number = 0, In-ptr =  7, serial-counter =  1607
donut number = 0, In-ptr =  8, serial-counter =  1608
donut number = 0, In-ptr =  9, serial-counter =  1609
donut number = 1, In-ptr =  4, serial-counter =  1644
donut number = 0, In-ptr =  10, serial-counter =  1610
donut number = 3, In-ptr =  23, serial-counter =  1663
donut number = 0, In-ptr =  11, serial-counter =  1611
donut number = 0, In-ptr =  12, serial-counter =  1612
donut number = 3, In-ptr =  24, serial-counter =  1664
donut number = 2, In-ptr =  19, serial-counter =  1579
donut number = 3, In-ptr =  25, serial-counter =  1665
donut number = 3, In-ptr =  26, serial-counter =  1666
donut number = 0, In-ptr =  13, serial-counter =  1613
donut number = 0, In-ptr =  14, serial-counter =  1614
donut number = 0, In-ptr =  15, serial-counter =  1615
donut number = 3, In-ptr =  27, serial-counter =  1667
donut number = 1, In-ptr =  5, serial-counter =  1645
donut number = 1, In-ptr =  6, serial-counter =  1646
donut number = 2, In-ptr =  20, serial-counter =  1580
donut number = 3, In-ptr =  28, serial-counter =  1668
donut number = 1, In-ptr =  7, serial-counter =  1647
donut number = 0, In-ptr =  16, serial-counter =  1616
donut number = 1, In-ptr =  8, serial-counter =  1648
donut number = 1, In-ptr =  9, serial-counter =  1649
donut number = 1, In-ptr =  10, serial-counter =  1650
donut number = 3, In-ptr =  29, serial-counter =  1669
donut number = 3, In-ptr =  30, serial-counter =  1670
donut number = 3, In-ptr =  31, serial-counter =  1671
donut number = 1, In-ptr =  11, serial-counter =  1651
donut number = 0, In-ptr =  17, serial-counter =  1617
donut number = 3, In-ptr =  32, serial-counter =  1672
donut number = 2, In-ptr =  21, serial-counter =  1581
donut number = 2, In-ptr =  22, serial-counter =  1582
donut number = 1, In-ptr =  12, serial-counter =  1652
donut number = 0, In-ptr =  18, serial-counter =  1618
donut number = 0, In-ptr =  19, serial-counter =  1619
donut number = 3, In-ptr =  33, serial-counter =  1673
donut number = 2, In-ptr =  23, serial-counter =  1583
donut number = 3, In-ptr =  34, serial-counter =  1674
donut number = 1, In-ptr =  13, serial-counter =  1653
donut number = 1, In-ptr =  14, serial-counter =  1654
donut number = 3, In-ptr =  35, serial-counter =  1675
donut number = 3, In-ptr =  36, serial-counter =  1676
donut number = 3, In-ptr =  37, serial-counter =  1677
donut number = 1, In-ptr =  15, serial-counter =  1655
donut number = 1, In-ptr =  16, serial-counter =  1656
donut number = 1, In-ptr =  17, serial-counter =  1657
donut number = 2, In-ptr =  24, serial-counter =  1584
donut number = 0, In-ptr =  20, serial-counter =  1620
donut number = 0, In-ptr =  21, serial-counter =  1621
donut number = 1, In-ptr =  18, serial-counter =  1658
donut number = 2, In-ptr =  25, serial-counter =  1585
donut number = 1, In-ptr =  19, serial-counter =  1659
donut number = 3, In-ptr =  38, serial-counter =  1678
donut number = 0, In-ptr =  22, serial-counter =  1622
donut number = 2, In-ptr =  26, serial-counter =  1586
donut number = 3, In-ptr =  39, serial-counter =  1679
donut number = 3, In-ptr =  0, serial-counter =  1680
donut number = 0, In-ptr =  23, serial-counter =  1623
donut number = 3, In-ptr =  1, serial-counter =  1681
donut number = 1, In-ptr =  20, serial-counter =  1660
donut number = 1, In-ptr =  21, serial-counter =  1661
donut number = 2, In-ptr =  27, serial-counter =  1587
donut number = 3, In-ptr =  2, serial-counter =  1682
donut number = 1, In-ptr =  22, serial-counter =  1662
donut number = 2, In-ptr =  28, serial-counter =  1588
donut number = 3, In-ptr =  3, serial-counter =  1683
donut number = 0, In-ptr =  24, serial-counter =  1624
donut number = 1, In-ptr =  23, serial-counter =  1663
donut number = 2, In-ptr =  29, serial-counter =  1589
donut number = 3, In-ptr =  4, serial-counter =  1684
donut number = 3, In-ptr =  5, serial-counter =  1685
donut number = 1, In-ptr =  24, serial-counter =  1664
donut number = 2, In-ptr =  30, serial-counter =  1590
donut number = 3, In-ptr =  6, serial-counter =  1686
donut number = 1, In-ptr =  25, serial-counter =  1665
donut number = 1, In-ptr =  26, serial-counter =  1666
donut number = 0, In-ptr =  25, serial-counter =  1625
donut number = 1, In-ptr =  27, serial-counter =  1667
donut number = 0, In-ptr =  26, serial-counter =  1626
donut number = 2, In-ptr =  31, serial-counter =  1591
donut number = 0, In-ptr =  27, serial-counter =  1627
donut number = 1, In-ptr =  28, serial-counter =  1668
donut number = 1, In-ptr =  29, serial-counter =  1669
donut number = 2, In-ptr =  32, serial-counter =  1592
donut number = 1, In-ptr =  30, serial-counter =  1670
donut number = 2, In-ptr =  33, serial-counter =  1593
donut number = 3, In-ptr =  7, serial-counter =  1687
donut number = 1, In-ptr =  31, serial-counter =  1671
donut number = 2, In-ptr =  34, serial-counter =  1594
donut number = 0, In-ptr =  28, serial-counter =  1628
donut number = 1, In-ptr =  32, serial-counter =  1672
donut number = 3, In-ptr =  8, serial-counter =  1688
donut number = 3, In-ptr =  9, serial-counter =  1689
donut number = 2, In-ptr =  35, serial-counter =  1595
donut number = 0, In-ptr =  29, serial-counter =  1629
donut number = 0, In-ptr =  30, serial-counter =  1630
donut number = 3, In-ptr =  10, serial-counter =  1690
donut number = 1, In-ptr =  33, serial-counter =  1673
donut number = 2, In-ptr =  36, serial-counter =  1596
donut number = 2, In-ptr =  37, serial-counter =  1597
donut number = 3, In-ptr =  11, serial-counter =  1691
donut number = 0, In-ptr =  31, serial-counter =  1631
donut number = 3, In-ptr =  12, serial-counter =  1692
donut number = 2, In-ptr =  38, serial-counter =  1598
donut number = 3, In-ptr =  13, serial-counter =  1693
donut number = 2, In-ptr =  39, serial-counter =  1599
donut number = 2, In-ptr =  0, serial-counter =  1600
donut number = 2, In-ptr =  1, serial-counter =  1601
donut number = 1, In-ptr =  34, serial-counter =  1674
donut number = 2, In-ptr =  2, serial-counter =  1602
donut number = 2, In-ptr =  3, serial-counter =  1603
donut number = 3, In-ptr =  14, serial-counter =  1694
donut number = 3, In-ptr =  15, serial-counter =  1695
donut number = 1, In-ptr =  35, serial-counter =  1675
donut number = 0, In-ptr =  32, serial-counter =  1632
donut number = 3, In-ptr =  16, serial-counter =  1696
donut number = 1, In-ptr =  36, serial-counter =  1676
donut number = 0, In-ptr =  33, serial-counter =  1633
donut number = 0, In-ptr =  34, serial-counter =  1634
donut number = 2, In-ptr =  4, serial-counter =  1604
donut number = 0, In-ptr =  35, serial-counter =  1635
donut number = 0, In-ptr =  36, serial-counter =  1636
donut number = 3, In-ptr =  17, serial-counter =  1697
donut number = 3, In-ptr =  18, serial-counter =  1698
donut number = 0, In-ptr =  37, serial-counter =  1637
donut number = 2, In-ptr =  5, serial-counter =  1605
donut number = 2, In-ptr =  6, serial-counter =  1606
donut number = 3, In-ptr =  19, serial-counter =  1699
donut number = 1, In-ptr =  37, serial-counter =  1677
donut number = 1, In-ptr =  38, serial-counter =  1678
donut number = 2, In-ptr =  7, serial-counter =  1607
donut number = 1, In-ptr =  39, serial-counter =  1679
donut number = 0, In-ptr =  38, serial-counter =  1638
donut number = 3, In-ptr =  20, serial-counter =  1700
donut number = 1, In-ptr =  0, serial-counter =  1680
donut number = 0, In-ptr =  39, serial-counter =  1639
donut number = 0, In-ptr =  0, serial-counter =  1640
donut number = 1, In-ptr =  1, serial-counter =  1681
donut number = 2, In-ptr =  8, serial-counter =  1608
donut number = 2, In-ptr =  9, serial-counter =  1609
donut number = 3, In-ptr =  21, serial-counter =  1701
donut number = 2, In-ptr =  10, serial-counter =  1610
donut number = 2, In-ptr =  11, serial-counter =  1611
donut number = 2, In-ptr =  12, serial-counter =  1612
donut number = 1, In-ptr =  2, serial-counter =  1682
donut number = 3, In-ptr =  22, serial-counter =  1702
donut number = 1, In-ptr =  3, serial-counter =  1683
donut number = 2, In-ptr =  13, serial-counter =  1613
donut number = 1, In-ptr =  4, serial-counter =  1684
donut number = 0, In-ptr =  1, serial-counter =  1641
donut number = 1, In-ptr =  5, serial-counter =  1685
donut number = 3, In-ptr =  23, serial-counter =  1703
donut number = 2, In-ptr =  14, serial-counter =  1614
donut number = 3, In-ptr =  24, serial-counter =  1704
donut number = 1, In-ptr =  6, serial-counter =  1686
donut number = 1, In-ptr =  7, serial-counter =  1687
donut number = 0, In-ptr =  2, serial-counter =  1642
donut number = 3, In-ptr =  25, serial-counter =  1705
donut number = 2, In-ptr =  15, serial-counter =  1615
donut number = 2, In-ptr =  16, serial-counter =  1616
donut number = 3, In-ptr =  26, serial-counter =  1706
donut number = 0, In-ptr =  3, serial-counter =  1643
